teks,label
Akses halaman kelas,pergi kelas
Tampilkan halaman kelas,pergi kelas
Klik kelas,pergi kelas
Buka tautan kelas,pergi kelas
Navigasi ke kelas website,pergi kelas
Tampilkan tampilan kelas situs,pergi kelas
Kunjungi laman kelas,pergi kelas
Masuk ke halaman kelas situs,pergi kelas
Buka tab kelas situs,pergi kelas
arahkan ke halaman kelas,pergi kelas
Buka halaman kelas web,pergi kelas
pilih halaman kelas,pergi kelas
masuk kelas,pergi kelas
buka halaman kelas,pergi kelas
buka kelas,pergi kelas
klik menu kelas,pergi kelas
tampilkan halaman kelas,pergi kelas
akses ke halaman kelas,pergi kelas
masuk ke halaman kelas,pergi kelas
klik tautan kelas,pergi kelas
buka situs di halaman kelas,pergi kelas
pergi ke halaman kelas,pergi kelas
klik kelas,pergi kelas
buka tab halaman kelas,pergi kelas
kunjungi halaman kelas,pergi kelas
pergi ke kelas,pergi kelas
buka kelas situs,pergi kelas
beralih ke halaman kelas,pergi kelas
tampilkan kelas,pergi kelas
Kembali ke halaman course,pergi kelas
kembali ke course,pergi kelas
arahkan ke course,pergi kelas
pindahkan ke course,pergi kelas
Masuk ke kelas,pergi kelas
pergi ke kelas,pergi kelas
kambali ke kelas,pergi kelas
kelas,pergi kelas
arahkan ke kelas,pergi kelas
menuju ke kelas,pergi kelas
buka kelas,pergi kelas
open kelas,pergi kelas
Buka halaman kelas.,pergi kelas
Menuju ke kelas.,pergi kelas
Akses ke halaman kelas.,pergi kelas
Lihat kelas saya.,pergi kelas
Tampilkan kelas.,pergi kelas
Buka kelas.,pergi kelas
masuk ke kelas,pergi kelas
pilih kelas,pergi kelas
Arahkan ke halaman kelas.,pergi kelas
Kunjungi kelas.,pergi kelas
Buka halaman kelas situs.,pergi kelas
Buka tab kelas.,pergi kelas
Akses kelas situs.,pergi kelas
Kunjungi halaman kelas.,pergi kelas
Buka tautan kelas,pergi kelas
Lihat kelas situs.,pergi kelas
rapor,pergi rapor
pilih rapor,pergi rapor
pergi ke halaman rapor,pergi rapor
lihat rapor,pergi rapor
pergi ke menu rapor,pergi rapor
pergi ke home,pergi rapor
Buka halaman rapor,pergi rapor
Navigasi ke rapor,pergi rapor
Klik menu home,pergi rapor
Pindah ke halaman rapor,pergi rapor
pergi tab rapor,pergi rapor
Masuk ke halaman rapor,pergi rapor
Tampilkan rapor,pergi rapor
Buka rapor situs,pergi rapor
Kunjungi halaman home,pergi rapor
Klik tautan home,pergi rapor
Arahkan ke halaman rapor,pergi rapor
pergi ke halaman rapor,pergi rapor
Klik halaman rapor,pergi rapor
Akses halaman rapor,pergi rapor
Tampilkan halaman rapor,pergi rapor
Klik rapor,pergi rapor
Buka tautan rapor,pergi rapor
Navigasi ke rapor website,pergi rapor
Tampilkan tampilan rapor situs,pergi rapor
Kunjungi laman rapor,pergi rapor
Masuk ke halaman rapor situs,pergi rapor
Buka tab rapor situs,pergi rapor
arahkan ke halaman rapor,pergi rapor
Buka halaman rapor web,pergi rapor
pilih halaman rapor,pergi rapor
masuk rapor,pergi rapor
buka halaman rapor,pergi rapor
buka rapor,pergi rapor
klik menu rapor,pergi rapor
tampilkan halaman rapor,pergi rapor
akses ke halaman rapor,pergi rapor
masuk ke halaman rapor,pergi rapor
klik tautan rapor,pergi rapor
buka situs di halaman rapor,pergi rapor
pergi ke halaman rapor,pergi rapor
klik rapor,pergi rapor
buka tab halaman rapor,pergi rapor
kunjungi halaman rapor,pergi rapor
pergi ke rapor,pergi rapor
buka rapor situs,pergi rapor
beralih ke halaman rapor,pergi rapor
tampilkan rapor,pergi rapor
Kembali ke halaman rapor,pergi rapor
kembali ke rapor,pergi rapor
arahkan ke rapor,pergi rapor
pindahkan ke rapor,pergi rapor
Masuk ke rapor,pergi rapor
pergi ke rapor,pergi rapor
kambali ke rapor,pergi rapor
rapor,pergi rapor
arahkan ke rapor,pergi rapor
menuju ke rapor,pergi rapor
buka rapor,pergi rapor
open rapor,pergi rapor
Buka halaman rapor.,pergi rapor
Menuju ke rapor.,pergi rapor
Akses ke halaman rapor.,pergi rapor
Lihat rapor saya.,pergi rapor
Tampilkan rapor.,pergi rapor
Buka rapor.,pergi rapor
masuk ke rapor,pergi rapor
pilih rapor,pergi rapor
Arahkan ke halaman rapor.,pergi rapor
Kunjungi rapor.,pergi rapor
Buka halaman rapor situs.,pergi rapor
Buka tab rapor.,pergi rapor
Akses rapor situs.,pergi rapor
Kunjungi halaman rapor.,pergi rapor
Buka tautan rapor,pergi rapor
Lihat rapor situs.,pergi rapor
peringkat,pergi peringkat
pilih peringkat,pergi peringkat
pergi ke halaman peringkat,pergi peringkat
lihat peringkat,pergi peringkat
pergi ke menu peringkat,pergi peringkat
pergi ke home,pergi peringkat
Buka halaman peringkat,pergi peringkat
Navigasi ke peringkat,pergi peringkat
Klik menu home,pergi peringkat
Pindah ke halaman peringkat,pergi peringkat
pergi tab peringkat,pergi peringkat
Masuk ke halaman peringkat,pergi peringkat
Tampilkan peringkat,pergi peringkat
Buka peringkat situs,pergi peringkat
Kunjungi halaman home,pergi peringkat
Klik tautan home,pergi peringkat
Arahkan ke halaman peringkat,pergi peringkat
pergi ke halaman peringkat,pergi peringkat
Klik halaman peringkat,pergi peringkat
Akses halaman peringkat,pergi peringkat
Tampilkan halaman peringkat,pergi peringkat
Klik peringkat,pergi peringkat
Buka tautan peringkat,pergi peringkat
Navigasi ke peringkat website,pergi peringkat
Tampilkan tampilan peringkat situs,pergi peringkat
Kunjungi laman peringkat,pergi peringkat
Masuk ke halaman peringkat situs,pergi peringkat
Buka tab peringkat situs,pergi peringkat
arahkan ke halaman peringkat,pergi peringkat
Buka halaman peringkat web,pergi peringkat
pilih halaman peringkat,pergi peringkat
masuk peringkat,pergi peringkat
buka halaman peringkat,pergi peringkat
buka peringkat,pergi peringkat
klik menu peringkat,pergi peringkat
tampilkan halaman peringkat,pergi peringkat
akses ke halaman peringkat,pergi peringkat
masuk ke halaman peringkat,pergi peringkat
klik tautan peringkat,pergi peringkat
buka situs di halaman peringkat,pergi peringkat
pergi ke halaman peringkat,pergi peringkat
klik peringkat,pergi peringkat
buka tab halaman peringkat,pergi peringkat
kunjungi halaman peringkat,pergi peringkat
pergi ke peringkat,pergi peringkat
buka peringkat situs,pergi peringkat
beralih ke halaman peringkat,pergi peringkat
tampilkan peringkat,pergi peringkat
Kembali ke halaman peringkat,pergi peringkat
kembali ke peringkat,pergi peringkat
arahkan ke peringkat,pergi peringkat
pindahkan ke peringkat,pergi peringkat
Masuk ke peringkat,pergi peringkat
pergi ke peringkat,pergi peringkat
kambali ke peringkat,pergi peringkat
peringkat,pergi peringkat
arahkan ke peringkat,pergi peringkat
menuju ke peringkat,pergi peringkat
buka peringkat,pergi peringkat
open peringkat,pergi peringkat
Buka halaman peringkat.,pergi peringkat
Menuju ke leaderboard.,pergi peringkat
Akses ke halaman peringkat.,pergi peringkat
Lihat peringkat saya.,pergi peringkat
Tampilkan leaderboard.,pergi peringkat
Buka leaderboard.,pergi peringkat
masuk ke peringkat,pergi peringkat
pilih peringkat,pergi peringkat
Arahkan ke halaman peringkat.,pergi peringkat
Kunjungi leaderboard.,pergi peringkat
Buka halaman peringkat situs.,pergi peringkat
Buka tab leaderboard.,pergi peringkat
Akses leaderboard situs.,pergi peringkat
Kunjungi halaman peringkat.,pergi peringkat
Buka tautan leaderboard,pergi peringkat
Lihat leaderboard situs.,pergi peringkat
saya dimana,saya dimana
ini dimana,saya dimana
posisi dimana,saya dimana
cek posisi,saya dimana
Saya ada di mana,saya dimana
Saya berada di mana,saya dimana
Cek posisi saya dong,saya dimana
Dimana lokasi saya sekarang,saya dimana
Apa posisi saya saat ini,saya dimana
Saya ada di mana ya,saya dimana
Bisa cek keberadaan saya,saya dimana
Dimana letak saya sekarang,saya dimana
Tolong informasikan di mana saya,saya dimana
Posisi saya sekarang di mana,saya dimana
Cari tahu di mana saya berada,saya dimana
Buka instruksi.,jelaskan instruksi
Tampilkan panduan.,jelaskan instruksi
Akses fitur bantuan.,jelaskan instruksi
Jelaskan instruksi.,jelaskan instruksi
Buka halaman bantuan.,jelaskan instruksi
Lihat petunjuk.,jelaskan instruksi
Buka panduan pengguna.,jelaskan instruksi
Tampilkan instruksi.,jelaskan instruksi
Arahkan ke halaman bantuan.,jelaskan instruksi
Buka tab bantuan.,jelaskan instruksi
Cari tahu cara menggunakan.,jelaskan instruksi
Tunjukkan bantuan.,jelaskan instruksi
Tampilkan petunjuk.,jelaskan instruksi
Buka fitur bantuan.,jelaskan instruksi
Saya butuh panduan.,jelaskan instruksi
Buka menu bantuan.,jelaskan instruksi
Bantu saya memahami.,jelaskan instruksi
Saya memerlukan bantuan.,jelaskan instruksi
Tampilkan panduan pengguna.,jelaskan instruksi
Buka tab instruksi.,jelaskan instruksi
Muat ulang halaman.,muat ulang halaman
Segarkan tampilan.,muat ulang halaman
Perbarui layar.,muat ulang halaman
Load ulang halaman.,muat ulang halaman
Akses fitur refresh.,muat ulang halaman
Segarkan browser.,muat ulang halaman
Perbarui tampilan.,muat ulang halaman
Buka tautan muat ulang.,muat ulang halaman
Reload layar.,muat ulang halaman
Arahkan ke muat ulang.,muat ulang halaman
Buka tab refresh.,muat ulang halaman
Perbarui halaman.,muat ulang halaman
Klik tombol refresh.,muat ulang halaman
Load ulang browser.,muat ulang halaman
Buka fitur muat ulang.,muat ulang halaman
Saya perlu me-refresh.,muat ulang halaman
Segarkan halaman web.,muat ulang halaman
Akses fitur load ulang.,muat ulang halaman
Buka menu refresh.,muat ulang halaman
Perbarui tampilan situs.,muat ulang halaman
cari semua kelas,cari semua kelas
ada kelas apa saja,cari semua kelas
tampilkan semua kelas,cari semua kelas
lihat semua kelas,cari semua kelas
tampilkan kelas yang tersedia,cari semua kelas
lihat kelas yang tersedia,cari semua kelas
cari kelas yang tersedia,cari semua kelas
cari semua kelas mudah,cari kelas mudah
ada kelas apa saja mudah,cari kelas mudah
tampilkan semua kelas  mudah,cari kelas mudah
lihat semua kelas  mudah,cari kelas mudah
tampilkan kelas yang tersedia mudah,cari kelas mudah
lihat kelas yang tersedia mudah,cari kelas mudah
cari kelas yang tersedia mudah,cari kelas mudah
cari semua kelas normal,cari kelas normal
ada kelas apa saja normal,cari kelas normal
tampilkan semua kelas  normal,cari kelas normal
lihat semua kelas  normal,cari kelas normal
tampilkan kelas yang tersedia normal,cari kelas normal
lihat kelas yang tersedia normal,cari kelas normal
cari kelas yang tersedia normal,cari kelas normal
cari semua kelas sulit,cari kelas sulit
ada kelas apa saja sulit,cari kelas sulit
tampilkan semua kelas  sulit,cari kelas sulit
lihat semua kelas  sulit,cari kelas sulit
tampilkan kelas yang tersedia sulit,cari kelas sulit
lihat kelas yang tersedia sulit,cari kelas sulit
cari kelas yang tersedia sulit,cari kelas sulit
sebutkan kelas,sebutkan kelas
jelaskan kelas,sebutkan kelas
ada berapa kelas,jumlah kelas
total kelas,jumlah kelas
total jumlah kelas,jumlah kelas
berapa kelas tersedia,jumlah kelas
mohon ulangi soal,ulangi soal
ulangi soal,ulangi soal
tolong ulangi soal,ulangi soal
ulangi pertanyaan,ulangi soal
tolong ulangi pertanyaan,ulangi soal
mohon ulangi pertanyaan,ulangi soal
bisa diulangi,ulangi soal
tolonh ulangi,ulangi soal
tolong diulang,ulangi soal
pilih a,pilih a
jawab a,pilih a
pilih opsi a,pilih a
saya memilih a,pilih a
saya pilih a,pilih a
a,pilih a
pilih b,pilih b
jawab b,pilih b
pilih opsi b,pilih b
saya memilih b,pilih b
saya pilih b,pilih b
b,pilih b
pilih c,pilih c
jawab c,pilih c
pilih opsi c,pilih c
saya memilih c,pilih c
saya pilih c,pilih c
c,pilih c
buka kuis,kerjakan kuis
mulai kuis,kerjakan kuis
lanjut kuis,kerjakan kuis
lanjut kerjakan kuis,kerjakan kuis
saya ingin memulai kuis,kerjakan kuis
saya ingin mengerjakan kuis,kerjakan kuis
kerjakan kuis,kerjakan kuis
hentikan kuis,hentikan kuis
tutup kuis,hentikan kuis
akhiri kuis,hentikan kuis
pilih materi yang sekarang,pilih materi sekarang
pilih materi yang berjalan,pilih materi sekarang
pilih materi terakhir,pilih materi sekarang
buka materi yang sekarang,pilih materi sekarang
buka materi yang berjalan,pilih materi sekarang
buka materi yang terakhir,pilih materi sekarang
lihat materi sekarang,pilih materi sekarang
lihat materi terakhir,pilih materi sekarang
lihat materi yang berjalan,pilih materi sekarang
cari kelas selesai,cari kelas selesai
apa saja kelas yang sudah selesai,cari kelas selesai
saya sudah menyelesaikan kelas apa saja,cari kelas selesai
tampilkan kelas yang sudah selesai,cari kelas selesai
lihat kelas yang sudah selesai,cari kelas selesai
cari kelas berjalan,cari kelas berjalan
apa saja kelas yang masih berjalan,cari kelas berjalan
saya masih ikut kelas apa saja,cari kelas berjalan
tampilkan kelas yang masih berjalan,cari kelas berjalan
lihat kelas yang masih berjalan,cari kelas berjalan
apa saja kelas yang belum selesai,cari kelas berjalan
tampilkan kelas yang belum selesai,cari kelas berjalan
lihat kelas yang belum selesai,cari kelas berjalan
cek peringkat saya,peringkat saya
lihat peringkat saya,peringkat saya
saya peringkat berapa,peringkat saya
saya ingin tahu peringkat saya,peringkat saya
posisi peringkat saya,peringkat saya
beritahu peringkat saya,peringkat saya
jelaskan peringkat saya,peringkat saya
tampilkan peringkat saya,peringkat saya
bacakan peringkat saya,peringkat saya
cetak sertifikat,cetak sertifikat
download sertifikat,cetak sertifikat
unduh sertifikat,cetak sertifikat
simpan sertifikat,cetak sertifikat
